cell_type_test,predicted.id,n_cells,median.prediction.score,id_datExpr_test,id_datExpr_ref,cell_type_test_n_cells_total
DEGLU4,i1_Gaba,37,0.183770136498279,mousebrain,moffitt2018,101
DEGLU4,i21_Sst_Pou3f3,22,0.296423297763294,mousebrain,moffitt2018,101
DEGLU4,e2_Tac1_Fezf1,16,0.190464334737472,mousebrain,moffitt2018,101
DEGLU4,e4_Trh_Angpt1,10,0.184965188346566,mousebrain,moffitt2018,101
DEGLU4,i12_Gaba,5,0.151015688908216,mousebrain,moffitt2018,101
DEGLU4,i6_Avp_Nms,4,0.246676829768059,mousebrain,moffitt2018,101
DEGLU4,i13_Gaba,3,0.167650883860562,mousebrain,moffitt2018,101
DEGLU4,i5_Gaba_Pou3f3,2,0.178890599147551,mousebrain,moffitt2018,101
DEGLU4,i24_Nmu,1,0.189807068847014,mousebrain,moffitt2018,101
DEGLU4,i32_Sst_Npy,1,0.161686200327154,mousebrain,moffitt2018,101
DEGLU5,i1_Gaba,176,0.191228414728169,mousebrain,moffitt2018,426
DEGLU5,i6_Avp_Nms,75,0.249217497856143,mousebrain,moffitt2018,426
DEGLU5,i12_Gaba,38,0.16858658207179,mousebrain,moffitt2018,426
DEGLU5,i13_Gaba,37,0.241607549327143,mousebrain,moffitt2018,426
DEGLU5,i21_Sst_Pou3f3,25,0.32943706635604,mousebrain,moffitt2018,426
DEGLU5,e9_Glut_Tcf7l2,19,0.155776197636559,mousebrain,moffitt2018,426
DEGLU5,e2_Tac1_Fezf1,17,0.196776743163582,mousebrain,moffitt2018,426
DEGLU5,i24_Nmu,12,0.21045518173104,mousebrain,moffitt2018,426
DEGLU5,i5_Gaba_Pou3f3,12,0.171519288645796,mousebrain,moffitt2018,426
DEGLU5,e4_Trh_Angpt1,6,0.218262977761512,mousebrain,moffitt2018,426
DEGLU5,i18_Gal_Tac2,4,0.14406117180772,mousebrain,moffitt2018,426
DEGLU5,i8_Gal_Amigo2,2,0.153555597597637,mousebrain,moffitt2018,426
DEGLU5,i32_Sst_Npy,2,0.173986406027977,mousebrain,moffitt2018,426
DEGLU5,Endothelial_1,1,0.315110208093768,mousebrain,moffitt2018,426
DEINH3,i21_Sst_Pou3f3,102,0.383701093138128,mousebrain,moffitt2018,323
DEINH3,i1_Gaba,94,0.214607188225694,mousebrain,moffitt2018,323
DEINH3,i13_Gaba,94,0.253446634840879,mousebrain,moffitt2018,323
DEINH3,i12_Gaba,20,0.206905598259152,mousebrain,moffitt2018,323
DEINH3,i5_Gaba_Pou3f3,5,0.201919572919148,mousebrain,moffitt2018,323
DEINH3,i24_Nmu,3,0.302623857874822,mousebrain,moffitt2018,323
DEINH3,i6_Avp_Nms,3,0.30135670119948,mousebrain,moffitt2018,323
DEINH3,i8_Gal_Amigo2,2,0.181879356898495,mousebrain,moffitt2018,323
HBGLU2,i1_Gaba,49,0.170253653253687,mousebrain,moffitt2018,200
HBGLU2,e2_Tac1_Fezf1,39,0.171857180515497,mousebrain,moffitt2018,200
HBGLU2,e4_Trh_Angpt1,34,0.276535266403369,mousebrain,moffitt2018,200
HBGLU2,i24_Nmu,28,0.262393013935369,mousebrain,moffitt2018,200
HBGLU2,i21_Sst_Pou3f3,22,0.27351981346964,mousebrain,moffitt2018,200
HBGLU2,e19_Ghrh_Trh,6,0.271290731674373,mousebrain,moffitt2018,200
HBGLU2,i13_Gaba,6,0.166021723356709,mousebrain,moffitt2018,200
HBGLU2,i5_Gaba_Pou3f3,5,0.175178466631262,mousebrain,moffitt2018,200
HBGLU2,i6_Avp_Nms,3,0.243322450209311,mousebrain,moffitt2018,200
HBGLU2,i12_Gaba,2,0.170111450082059,mousebrain,moffitt2018,200
HBGLU2,i32_Sst_Npy,2,0.224700245301195,mousebrain,moffitt2018,200
HBGLU2,e9_Glut_Tcf7l2,1,0.124346149076054,mousebrain,moffitt2018,200
HBGLU2,Astrocytes_1,1,0.404717114679055,mousebrain,moffitt2018,200
HBGLU2,i18_Gal_Tac2,1,0.114121299130538,mousebrain,moffitt2018,200
HBGLU2,e1_Glut,1,0.310370958305115,mousebrain,moffitt2018,200
