cell_type_test,predicted.id,n_cells,median.prediction.score,id_datExpr_test,id_datExpr_ref,cell_type_test_n_cells_total
DEGLU5,i1_Gaba,176,0.191228414728169,mousebrain,moffitt2018,426
DEGLU5,i6_Avp_Nms,75,0.249217497856143,mousebrain,moffitt2018,426
DEGLU5,i12_Gaba,38,0.16858658207179,mousebrain,moffitt2018,426
DEGLU5,i13_Gaba,37,0.241607549327143,mousebrain,moffitt2018,426
DEGLU5,i21_Sst_Pou3f3,25,0.32943706635604,mousebrain,moffitt2018,426
DEGLU5,e9_Glut_Tcf7l2,19,0.155776197636559,mousebrain,moffitt2018,426
DEGLU5,e2_Tac1_Fezf1,17,0.196776743163582,mousebrain,moffitt2018,426
DEGLU5,i24_Nmu,12,0.21045518173104,mousebrain,moffitt2018,426
DEGLU5,i5_Gaba_Pou3f3,12,0.171519288645796,mousebrain,moffitt2018,426
DEGLU5,e4_Trh_Angpt1,6,0.218262977761512,mousebrain,moffitt2018,426
DEGLU5,i18_Gal_Tac2,4,0.14406117180772,mousebrain,moffitt2018,426
DEGLU5,i8_Gal_Amigo2,2,0.153555597597637,mousebrain,moffitt2018,426
DEGLU5,i32_Sst_Npy,2,0.173986406027977,mousebrain,moffitt2018,426
DEGLU5,Endothelial_1,1,0.315110208093768,mousebrain,moffitt2018,426
DEINH4,i24_Nmu,52,0.762345428367457,mousebrain,moffitt2018,57
DEINH4,i6_Avp_Nms,5,0.34120238130079,mousebrain,moffitt2018,57
DEINH5,i24_Nmu,130,0.506143311540787,mousebrain,moffitt2018,308
DEINH5,i6_Avp_Nms,63,0.285985340874273,mousebrain,moffitt2018,308
DEINH5,i18_Gal_Tac2,50,0.281097707279184,mousebrain,moffitt2018,308
DEINH5,i8_Gal_Amigo2,27,0.265739670803653,mousebrain,moffitt2018,308
DEINH5,i1_Gaba,15,0.178833864841755,mousebrain,moffitt2018,308
DEINH5,i12_Gaba,14,0.174751897844946,mousebrain,moffitt2018,308
DEINH5,i5_Gaba_Pou3f3,5,0.187812017513953,mousebrain,moffitt2018,308
DEINH5,e4_Trh_Angpt1,2,0.285884871513596,mousebrain,moffitt2018,308
DEINH5,e2_Tac1_Fezf1,2,0.184599686490067,mousebrain,moffitt2018,308
HBNOR,e4_Trh_Angpt1,9,0.316471871638591,mousebrain,moffitt2018,23
HBNOR,i6_Avp_Nms,5,0.335098399995539,mousebrain,moffitt2018,23
HBNOR,i18_Gal_Tac2,3,0.237487076931443,mousebrain,moffitt2018,23
HBNOR,i17_Th_Nos1,2,0.22053153918315,mousebrain,moffitt2018,23
HBNOR,i24_Nmu,2,0.471317746241227,mousebrain,moffitt2018,23
HBNOR,e2_Tac1_Fezf1,1,0.169345339967638,mousebrain,moffitt2018,23
HBNOR,Astrocytes_1,1,0.978317456418232,mousebrain,moffitt2018,23
HBSER4,e4_Trh_Angpt1,35,0.44021131104839,mousebrain,moffitt2018,72
HBSER4,i24_Nmu,27,0.397247936460983,mousebrain,moffitt2018,72
HBSER4,i8_Gal_Amigo2,7,0.238590153244906,mousebrain,moffitt2018,72
HBSER4,i18_Gal_Tac2,2,0.215824573583421,mousebrain,moffitt2018,72
HBSER4,e19_Ghrh_Trh,1,0.321709951880506,mousebrain,moffitt2018,72
HYPEP1,e4_Trh_Angpt1,150,0.58654689698821,mousebrain,moffitt2018,191
HYPEP1,i6_Avp_Nms,41,0.381045232553962,mousebrain,moffitt2018,191
HYPEP4,i6_Avp_Nms,75,0.442951505192913,mousebrain,moffitt2018,98
HYPEP4,e4_Trh_Angpt1,15,0.574955241152833,mousebrain,moffitt2018,98
HYPEP4,i24_Nmu,8,0.394313471714202,mousebrain,moffitt2018,98
MBDOP1,i6_Avp_Nms,33,0.416940085286726,mousebrain,moffitt2018,57
MBDOP1,e4_Trh_Angpt1,10,0.398709487750185,mousebrain,moffitt2018,57
MBDOP1,i24_Nmu,8,0.439835640593003,mousebrain,moffitt2018,57
MBDOP1,i18_Gal_Tac2,4,0.203330532142706,mousebrain,moffitt2018,57
MBDOP1,i8_Gal_Amigo2,1,0.191891815898231,mousebrain,moffitt2018,57
MBDOP1,e9_Glut_Tcf7l2,1,0.221427645074823,mousebrain,moffitt2018,57
MEGLU1,i1_Gaba,104,0.202046743173118,mousebrain,moffitt2018,263
MEGLU1,i21_Sst_Pou3f3,57,0.351900674755826,mousebrain,moffitt2018,263
MEGLU1,i13_Gaba,43,0.235109003883454,mousebrain,moffitt2018,263
MEGLU1,i12_Gaba,26,0.19507823936276,mousebrain,moffitt2018,263
MEGLU1,e2_Tac1_Fezf1,9,0.191458809122325,mousebrain,moffitt2018,263
MEGLU1,e4_Trh_Angpt1,9,0.329439996196955,mousebrain,moffitt2018,263
MEGLU1,i6_Avp_Nms,6,0.275473305293902,mousebrain,moffitt2018,263
MEGLU1,i24_Nmu,3,0.217178205672908,mousebrain,moffitt2018,263
MEGLU1,e9_Glut_Tcf7l2,2,0.14802521353536,mousebrain,moffitt2018,263
MEGLU1,i32_Sst_Npy,1,0.262896276665282,mousebrain,moffitt2018,263
MEGLU1,i5_Gaba_Pou3f3,1,0.174464891534882,mousebrain,moffitt2018,263
MEGLU1,i30_Vip,1,0.175814799763911,mousebrain,moffitt2018,263
MEGLU1,i8_Gal_Amigo2,1,0.197422913348935,mousebrain,moffitt2018,263
MEGLU14,e4_Trh_Angpt1,29,0.32895484790033,mousebrain,moffitt2018,47
MEGLU14,i6_Avp_Nms,10,0.413498797197509,mousebrain,moffitt2018,47
MEGLU14,i24_Nmu,6,0.360587432771662,mousebrain,moffitt2018,47
MEGLU14,i18_Gal_Tac2,1,0.239711930363306,mousebrain,moffitt2018,47
MEGLU14,e19_Ghrh_Trh,1,0.311830812490921,mousebrain,moffitt2018,47
MEGLU2,e2_Tac1_Fezf1,134,0.199855360992324,mousebrain,moffitt2018,336
MEGLU2,i1_Gaba,77,0.17032033649079,mousebrain,moffitt2018,336
MEGLU2,i6_Avp_Nms,34,0.270843618045011,mousebrain,moffitt2018,336
MEGLU2,i24_Nmu,29,0.296363916158176,mousebrain,moffitt2018,336
MEGLU2,e9_Glut_Tcf7l2,21,0.150430165161469,mousebrain,moffitt2018,336
MEGLU2,e4_Trh_Angpt1,15,0.215339549122552,mousebrain,moffitt2018,336
MEGLU2,i12_Gaba,14,0.151135488172664,mousebrain,moffitt2018,336
MEGLU2,i18_Gal_Tac2,7,0.167622651709664,mousebrain,moffitt2018,336
MEGLU2,i5_Gaba_Pou3f3,4,0.153124841514134,mousebrain,moffitt2018,336
MEGLU2,i32_Sst_Npy,1,0.158924492015547,mousebrain,moffitt2018,336
MEGLU6,i1_Gaba,69,0.174410409961632,mousebrain,moffitt2018,143
MEGLU6,i21_Sst_Pou3f3,35,0.281261609520739,mousebrain,moffitt2018,143
MEGLU6,e9_Glut_Tcf7l2,13,0.163149583420496,mousebrain,moffitt2018,143
MEGLU6,i13_Gaba,8,0.187283884165477,mousebrain,moffitt2018,143
