cell_type_test,predicted.id,n_cells,median.prediction.score,id_datExpr_test,id_datExpr_ref,cell_type_test_n_cells_total
e8_Cck_Ebf3,e8_Cck_Ebf3,164,1,moffitt2018,moffitt2018,168
e8_Cck_Ebf3,e1_Glut,1,0.182383787942342,moffitt2018,moffitt2018,168
e8_Cck_Ebf3,e10_Glut_Meis2,1,0.522121369252687,moffitt2018,moffitt2018,168
e8_Cck_Ebf3,i2_Tac1_Pdyn,1,0.8353336837535,moffitt2018,moffitt2018,168
e8_Cck_Ebf3,e2_Tac1_Fezf1,1,0.27951230366662,moffitt2018,moffitt2018,168
i9_Gaba,i9_Gaba,427,0.632907585901689,moffitt2018,moffitt2018,607
i9_Gaba,i1_Gaba,92,0.414251403348247,moffitt2018,moffitt2018,607
i9_Gaba,i7_Gaba,13,0.392833045223539,moffitt2018,moffitt2018,607
i9_Gaba,i12_Gaba,12,0.386255808146082,moffitt2018,moffitt2018,607
i9_Gaba,i22_Gal_Pmaip1,11,0.478885519853351,moffitt2018,moffitt2018,607
i9_Gaba,i20_Gal_Moxd1,10,0.405344474951983,moffitt2018,moffitt2018,607
i9_Gaba,i8_Gal_Amigo2,10,0.453234890364537,moffitt2018,moffitt2018,607
i9_Gaba,i5_Gaba_Pou3f3,5,0.324591739168114,moffitt2018,moffitt2018,607
i9_Gaba,i27_Th_Trh,3,0.41162917064588,moffitt2018,moffitt2018,607
i9_Gaba,e1_Glut,3,0.223293145869021,moffitt2018,moffitt2018,607
i9_Gaba,i37_Bdnf_Chrm2,3,0.530749261282934,moffitt2018,moffitt2018,607
i9_Gaba,e7_Reln_C1ql1,2,0.291212825043847,moffitt2018,moffitt2018,607
i9_Gaba,e2_Tac1_Fezf1,2,0.275402973134961,moffitt2018,moffitt2018,607
i9_Gaba,i13_Gaba,2,0.406424321154849,moffitt2018,moffitt2018,607
i9_Gaba,i6_Avp_Nms,2,0.510991844296306,moffitt2018,moffitt2018,607
i9_Gaba,e9_Glut_Tcf7l2,2,0.283130077148067,moffitt2018,moffitt2018,607
i9_Gaba,i4_Gaba_Mylk,2,0.634300984485903,moffitt2018,moffitt2018,607
i9_Gaba,e15_Ucn3_Brs3,1,0.33679917301915,moffitt2018,moffitt2018,607
i9_Gaba,e6_Nos1_Trp73,1,0.566987349793981,moffitt2018,moffitt2018,607
i9_Gaba,i15_Gaba,1,0.575944518750492,moffitt2018,moffitt2018,607
i9_Gaba,i18_Gal_Tac2,1,0.385161757929097,moffitt2018,moffitt2018,607
i9_Gaba,Astrocytes_1,1,0.734478198534862,moffitt2018,moffitt2018,607
i9_Gaba,i40_Sst_Reln,1,0.474238770929701,moffitt2018,moffitt2018,607
e8_Cck_Ebf3,n33.unassigned(1),126,0.508721736365061,moffitt2018,campbell2017,168
e8_Cck_Ebf3,n34.unassigned(2),29,0.455764052790761,moffitt2018,campbell2017,168
e8_Cck_Ebf3,n32.Slc17a6-Trhr,3,0.243260761789877,moffitt2018,campbell2017,168
e8_Cck_Ebf3,n29.Nr5a1-Adcyap1,3,0.438522716797785,moffitt2018,campbell2017,168
e8_Cck_Ebf3,n31.Fam19a2,2,0.36633112616159,moffitt2018,campbell2017,168
e8_Cck_Ebf3,s32.Astrocytes,2,0.938622161617296,moffitt2018,campbell2017,168
e8_Cck_Ebf3,s06.Oligodendro4,1,0.659435208851965,moffitt2018,campbell2017,168
e8_Cck_Ebf3,n16.Rgs16-Vip,1,0.944188073604931,moffitt2018,campbell2017,168
e8_Cck_Ebf3,s29.NG2_OPC2,1,0.998193172947861,moffitt2018,campbell2017,168
i9_Gaba,n34.unassigned(2),581,0.810521444942841,moffitt2018,campbell2017,607
i9_Gaba,n33.unassigned(1),9,0.374900172182304,moffitt2018,campbell2017,607
i9_Gaba,n31.Fam19a2,6,0.414992917947096,moffitt2018,campbell2017,607
i9_Gaba,n09.Th-Slc6a3,4,0.600689801591214,moffitt2018,campbell2017,607
i9_Gaba,n16.Rgs16-Vip,3,0.601435143816055,moffitt2018,campbell2017,607
i9_Gaba,n04.Sst-Nts,2,0.397739820510424,moffitt2018,campbell2017,607
i9_Gaba,n29.Nr5a1-Adcyap1,1,0.471177346444144,moffitt2018,campbell2017,607
i9_Gaba,n32.Slc17a6-Trhr,1,0.331933316973881,moffitt2018,campbell2017,607
e8_Cck_Ebf3,Glut_5,40,0.18212692078366,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,Glut_4,35,0.214144093667013,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_5,23,0.241835553180643,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_15,19,0.191370541750532,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_4,18,0.183848513455401,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,Glut_13,11,0.188137407120576,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_7,6,0.180580725136569,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,Glut_9,5,0.284285885842902,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_14,4,0.370763229090569,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_13,2,0.804135370858498,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_8,1,0.188681205170466,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,Glut_8,1,0.196531627169043,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,Nonneuronal_1,1,0.95946577511887,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,GABA_10,1,0.192154977289446,moffitt2018,mikkelsen2019,168
e8_Cck_Ebf3,Nonneuronal_3,1,0.982316704749298,moffitt2018,mikkelsen2019,168
i9_Gaba,GABA_5,199,0.359774083551949,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_7,127,0.242921092615683,moffitt2018,mikkelsen2019,607
i9_Gaba,Glut_9,50,0.235108362948932,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_4,49,0.214519350852657,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_8,43,0.23601256398484,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_1,37,0.255636011387571,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_2,32,0.264661774161765,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_15,24,0.254636882227249,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_10,17,0.234822622703503,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_9,11,0.257529470651415,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_13,5,0.247479416579393,moffitt2018,mikkelsen2019,607
i9_Gaba,Glut_2,4,0.257439914512691,moffitt2018,mikkelsen2019,607
i9_Gaba,GABA_14,4,0.223763554913835,moffitt2018,mikkelsen2019,607
i9_Gaba,Glut_13,2,0.365447681782831,moffitt2018,mikkelsen2019,607
i9_Gaba,Glut_5,1,0.22232251455037,moffitt2018,mikkelsen2019,607
i9_Gaba,Glut_6,1,0.164161160435931,moffitt2018,mikkelsen2019,607
i9_Gaba,Glut_4,1,0.184004935315484,moffitt2018,mikkelsen2019,607
n29.Nr5a1-Adcyap1,i1_Gaba,252,0.319064245766131,campbell2017,moffitt2018,745
n29.Nr5a1-Adcyap1,e2_Tac1_Fezf1,195,0.237376558970579,campbell2017,moffitt2018,745
